Model,Sample,Split,Metric,Value
KNN,0.3,0.7,Accuracy,0.8640998571694716
KNN,0.3,0.7,Precision,0.817547382589914
KNN,0.3,0.7,Recall,0.6615871416980551
KNN,0.3,0.7,F1-Score,0.699236322731334
KNN,0.3,0.7,AUC,0.6615871416980551
DTC,0.3,0.7,Accuracy,0.9308576041731355
DTC,0.3,0.7,Precision,0.8832981203348826
DTC,0.3,0.7,Recall,0.8798411955096261
DTC,0.3,0.7,F1-Score,0.881555486039703
DTC,0.3,0.7,AUC,0.8798411955096261
RFC,0.3,0.7,Accuracy,0.945587778674781
RFC,0.3,0.7,Precision,0.9180458737961401
RFC,0.3,0.7,Recall,0.891911662523533
RFC,0.3,0.7,F1-Score,0.904247475417384
RFC,0.3,0.7,AUC,0.8919116625235332
XGB,0.3,0.7,Accuracy,0.9522821834440788
XGB,0.3,0.7,Precision,0.9254124363651379
XGB,0.3,0.7,Recall,0.9092532831930646
XGB,0.3,0.7,F1-Score,0.9170600372033417
XGB,0.3,0.7,AUC,0.9092532831930645
LR,0.3,0.6,Accuracy,0.8535685675428955
LR,0.3,0.6,Precision,0.785526793527979
LR,0.3,0.6,Recall,0.6432080856989433
LR,0.3,0.6,F1-Score,0.6757493898151843
LR,0.3,0.6,AUC,0.6432080856989433
KNN,0.3,0.6,Accuracy,0.8619054716172663
KNN,0.3,0.6,Precision,0.8134756895941234
KNN,0.3,0.6,Recall,0.6576092441531124
KNN,0.3,0.6,F1-Score,0.6944249021775493
KNN,0.3,0.6,AUC,0.6576092441531124
DTC,0.3,0.6,Accuracy,0.928181530264359
DTC,0.3,0.6,Precision,0.8803033121198782
DTC,0.3,0.6,Recall,0.8735253027975262
DTC,0.3,0.6,F1-Score,0.8768590357885507
DTC,0.3,0.6,AUC,0.873525302797526
RFC,0.3,0.6,Accuracy,0.9442126050263614
RFC,0.3,0.6,Precision,0.9160849145579655
RFC,0.3,0.6,Recall,0.8896686943323374
RFC,0.3,0.6,F1-Score,0.9021226059028032
RFC,0.3,0.6,AUC,0.8896686943323374
XGB,0.3,0.6,Accuracy,0.9501276151796859
XGB,0.3,0.6,Precision,0.9214352028063706
XGB,0.3,0.6,Recall,0.9064940217821817
XGB,0.3,0.6,F1-Score,0.9137278760094083
XGB,0.3,0.6,AUC,0.9064940217821817
LR,0.3,0.5,Accuracy,0.8530240252772148
LR,0.3,0.5,Precision,0.7848459827642964
LR,0.3,0.5,Recall,0.6397598024087502
LR,0.3,0.5,F1-Score,0.6719548252463634
LR,0.3,0.5,AUC,0.6397598024087501
KNN,0.3,0.5,Accuracy,0.8609007988553714
KNN,0.3,0.5,Precision,0.8125867844698131
KNN,0.3,0.5,Recall,0.6528488611731541
KNN,0.3,0.5,F1-Score,0.6892359157070922
KNN,0.3,0.5,AUC,0.6528488611731541
DTC,0.3,0.5,Accuracy,0.9270597353046381
DTC,0.3,0.5,Precision,0.8777359008361938
DTC,0.3,0.5,Recall,0.8722180047471789
DTC,0.3,0.5,F1-Score,0.8749400822317006
DTC,0.3,0.5,AUC,0.8722180047471788
RFC,0.3,0.5,Accuracy,0.9443782043638965
RFC,0.3,0.5,Precision,0.9171829587704634
RFC,0.3,0.5,Recall,0.8885962118691185
RFC,0.3,0.5,F1-Score,0.9020100412929422
RFC,0.3,0.5,AUC,0.8885962118691185
XGB,0.3,0.5,Accuracy,0.9500491832598068
XGB,0.3,0.5,Precision,0.9218148490830416
XGB,0.3,0.5,Recall,0.9053600977141387
XGB,0.3,0.5,F1-Score,0.9133010108774262
XGB,0.3,0.5,AUC,0.9053600977141386
LR,0.1,0.9,Accuracy,0.8621884430535375
LR,0.1,0.9,Precision,0.7939128544507363
LR,0.1,0.9,Recall,0.6656864315391084
LR,0.1,0.9,F1-Score,0.7004818967589362
LR,0.1,0.9,AUC,0.6656864315391083
KNN,0.1,0.9,Accuracy,0.846317201296524
KNN,0.1,0.9,Precision,0.776313692596028
KNN,0.1,0.9,Recall,0.5999528292768468
KNN,0.1,0.9,F1-Score,0.6239539280688213
KNN,0.1,0.9,AUC,0.5999528292768468
DTC,0.1,0.9,Accuracy,0.922879177377892
DTC,0.1,0.9,Precision,0.8649993901005332
DTC,0.1,0.9,Recall,0.8708183663085396
DTC,0.1,0.9,F1-Score,0.8678668478260869
DTC,0.1,0.9,AUC,0.8708183663085397
RFC,0.1,0.9,Accuracy,0.9445624231586006
RFC,0.1,0.9,Precision,0.9127684002358419
RFC,0.1,0.9,Recall,0.8917340427294607
RFC,0.1,0.9,F1-Score,0.901776599905834
RFC,0.1,0.9,AUC,0.8917340427294607
XGB,0.1,0.9,Accuracy,0.948921426176372
XGB,0.1,0.9,Precision,0.9179414081733136
XGB,0.1,0.9,Recall,0.9028941128590188
XGB,0.1,0.9,F1-Score,0.9101790358840417
XGB,0.1,0.9,AUC,0.9028941128590188
LR,0.1,0.8,Accuracy,0.8600011177555469
LR,0.1,0.8,Precision,0.7956513181972569
LR,0.1,0.8,Recall,0.6465047406427609
LR,0.1,0.8,F1-Score,0.6810865166451558
LR,0.1,0.8,AUC,0.646504740642761
KNN,0.1,0.8,Accuracy,0.8515620633767395
KNN,0.1,0.8,Precision,0.7840140814622146
KNN,0.1,0.8,Recall,0.6139878350314509
KNN,0.1,0.8,F1-Score,0.6425033113937824
KNN,0.1,0.8,AUC,0.613987835031451
DTC,0.1,0.8,Accuracy,0.9204716928407757
DTC,0.1,0.8,Precision,0.8625910358651228
DTC,0.1,0.8,Recall,0.8593606052449569
DTC,0.1,0.8,F1-Score,0.8609628338902258
DTC,0.1,0.8,AUC,0.859360605244957
RFC,0.1,0.8,Accuracy,0.9426032526686414
RFC,0.1,0.8,Precision,0.9100494710293181
RFC,0.1,0.8,Recall,0.8853178896849578
RFC,0.1,0.8,F1-Score,0.8970261971874884
RFC,0.1,0.8,AUC,0.8853178896849578
XGB,0.1,0.8,Accuracy,0.9493097859498127
XGB,0.1,0.8,Precision,0.9191992584570148
XGB,0.1,0.8,Recall,0.9011781249759442
XGB,0.1,0.8,F1-Score,0.9098497813077076
XGB,0.1,0.8,AUC,0.9011781249759442
LR,0.1,0.7,Accuracy,0.8562539587913112
LR,0.1,0.7,Precision,0.7851626985653666
LR,0.1,0.7,Recall,0.6418033246765972
LR,0.1,0.7,F1-Score,0.6746832033195459
LR,0.1,0.7,AUC,0.6418033246765972
KNN,0.1,0.7,Accuracy,0.8521554454338836
KNN,0.1,0.7,Precision,0.7885281941709932
KNN,0.1,0.7,Recall,0.6180224304122757
KNN,0.1,0.7,F1-Score,0.647559191121087
KNN,0.1,0.7,AUC,0.6180224304122758
DTC,0.1,0.7,Accuracy,0.9233205410037632
DTC,0.1,0.7,Precision,0.867763717323851
DTC,0.1,0.7,Recall,0.8661578856159877
DTC,0.1,0.7,F1-Score,0.8669576330390862
DTC,0.1,0.7,AUC,0.8661578856159878
RFC,0.1,0.7,Accuracy,0.9421737024479303
RFC,0.1,0.7,Precision,0.9092456992136084
RFC,0.1,0.7,Recall,0.8858853775299678
RFC,0.1,0.7,F1-Score,0.896974825705111
RFC,0.1,0.7,AUC,0.8858853775299678
XGB,0.1,0.7,Accuracy,0.9496628041283207
XGB,0.1,0.7,Precision,0.918393422161264
XGB,0.1,0.7,Recall,0.9048459331500311
XGB,0.1,0.7,F1-Score,0.9114269785085136
XGB,0.1,0.7,AUC,0.9048459331500313
LR,0.1,0.6,Accuracy,0.855190722369708
LR,0.1,0.6,Precision,0.7859796432785626
LR,0.1,0.6,Recall,0.6388116508716472
LR,0.1,0.6,F1-Score,0.6713889372509685
LR,0.1,0.6,AUC,0.638811650871647
KNN,0.1,0.6,Accuracy,0.8522844767360626
KNN,0.1,0.6,Precision,0.7872255008873779
KNN,0.1,0.6,Recall,0.6229947754084686
KNN,0.1,0.6,F1-Score,0.6533434418911426
KNN,0.1,0.6,AUC,0.6229947754084687
DTC,0.1,0.6,Accuracy,0.9207489171440548
DTC,0.1,0.6,Precision,0.8638316954902875
DTC,0.1,0.6,Recall,0.8622841343980137
DTC,0.1,0.6,F1-Score,0.863054919513591
DTC,0.1,0.6,AUC,0.8622841343980137
RFC,0.1,0.6,Accuracy,0.9417912533184295
RFC,0.1,0.6,Precision,0.9095974236827421
RFC,0.1,0.6,Recall,0.8847953712242882
RFC,0.1,0.6,F1-Score,0.896528341657697
RFC,0.1,0.6,AUC,0.8847953712242882
XGB,0.1,0.6,Accuracy,0.9474360765683946
XGB,0.1,0.6,Precision,0.917337554324964
XGB,0.1,0.6,Recall,0.897901681341088
XGB,0.1,0.6,F1-Score,0.9072194772483042
XGB,0.1,0.6,AUC,0.8979016813410879
LR,0.1,0.5,Accuracy,0.8557376316201292
LR,0.1,0.5,Precision,0.7887303170049844
LR,0.1,0.5,Recall,0.64121763303059
LR,0.1,0.5,F1-Score,0.6742490693954432
LR,0.1,0.5,AUC,0.64121763303059
KNN,0.1,0.5,Accuracy,0.8494556347946615
KNN,0.1,0.5,Precision,0.7788108940882954
KNN,0.1,0.5,Recall,0.6179545821287651
KNN,0.1,0.5,F1-Score,0.6466221883851351
KNN,0.1,0.5,AUC,0.6179545821287652
DTC,0.1,0.5,Accuracy,0.9172609599606537
DTC,0.1,0.5,Precision,0.8581808417011771
DTC,0.1,0.5,Recall,0.8566463725295673
DTC,0.1,0.5,F1-Score,0.8574105946648842
DTC,0.1,0.5,AUC,0.8566463725295673
RFC,0.1,0.5,Accuracy,0.9394379736647962
RFC,0.1,0.5,Precision,0.9057368243126573
RFC,0.1,0.5,Recall,0.8808064572809466
RFC,0.1,0.5,F1-Score,0.8925868472179251
RFC,0.1,0.5,AUC,0.8808064572809466
XGB,0.1,0.5,Accuracy,0.9462788670049853
XGB,0.1,0.5,Precision,0.9150286644853175
XGB,0.1,0.5,Recall,0.8967985310465005
XGB,0.1,0.5,F1-Score,0.9055583323327385
XGB,0.1,0.5,AUC,0.8967985310465004
