Model,Sample,Split,Metric,Value
RFC,1,0.5,F1-Score,0.9074007930093594
RFC,1,0.5,AUC,0.8952789274157167
XGB,1,0.5,Accuracy,0.9531751265914756
XGB,1,0.5,Precision,0.9261282391470871
XGB,1,0.5,Recall,0.9099098210257741
XGB,1,0.5,F1-Score,0.9177476119936463
XGB,1,0.5,AUC,0.9099098210257742
LR,0.9,0.9,Accuracy,0.8548841830714774
LR,0.9,0.9,Precision,0.7854515557504176
LR,0.9,0.9,Recall,0.6393929550656541
LR,0.9,0.9,F1-Score,0.6719208077730112
LR,0.9,0.9,AUC,0.6393929550656542
KNN,0.9,0.9,Accuracy,0.8803080171396634
KNN,0.9,0.9,Precision,0.8396837086688498
KNN,0.9,0.9,Recall,0.7067339620720787
KNN,0.9,0.9,F1-Score,0.7472180576674492
KNN,0.9,0.9,AUC,0.7067339620720788
DTC,0.9,0.9,Accuracy,0.9392162951002919
DTC,0.9,0.9,Precision,0.8977329929060964
DTC,0.9,0.9,Recall,0.8914926792533219
DTC,0.9,0.9,F1-Score,0.8945691305670753
DTC,0.9,0.9,AUC,0.8914926792533219
RFC,0.9,0.9,Accuracy,0.9488790908526361
RFC,0.9,0.9,Precision,0.9220550719282972
RFC,0.9,0.9,Recall,0.8981057709160765
RFC,0.9,0.9,F1-Score,0.9094792720732751
RFC,0.9,0.9,AUC,0.8981057709160765
XGB,0.9,0.9,Accuracy,0.9541079301993417
XGB,0.9,0.9,Precision,0.9276993305702697
XGB,0.9,0.9,Recall,0.9119049213335517
XGB,0.9,0.9,F1-Score,0.9195455583739329
XGB,0.9,0.9,AUC,0.9119049213335516
LR,0.9,0.8,Accuracy,0.8556852760355214
LR,0.9,0.8,Precision,0.783554585965496
LR,0.9,0.8,Recall,0.641271285179958
LR,0.9,0.8,F1-Score,0.6739028575709701
LR,0.9,0.8,AUC,0.641271285179958
KNN,0.9,0.8,Accuracy,0.8799478358069925
KNN,0.9,0.8,Precision,0.8387358801620277
KNN,0.9,0.8,Recall,0.7032493284151846
KNN,0.9,0.8,F1-Score,0.7439370429496905
KNN,0.9,0.8,AUC,0.7032493284151846
DTC,0.9,0.8,Accuracy,0.9377383096317456
DTC,0.9,0.8,Precision,0.8942112335536223
DTC,0.9,0.8,Recall,0.8890624194326711
DTC,0.9,0.8,F1-Score,0.8916069044816395
DTC,0.9,0.8,AUC,0.8890624194326711
RFC,0.9,0.8,Accuracy,0.9490095013351549
RFC,0.9,0.8,Precision,0.9226721417348271
RFC,0.9,0.8,Recall,0.8968303655129863
RFC,0.9,0.8,F1-Score,0.9090554988457442
RFC,0.9,0.8,AUC,0.8968303655129862
XGB,0.9,0.8,Accuracy,0.9541762404520897
XGB,0.9,0.8,Precision,0.9272891371917467
XGB,0.9,0.8,Recall,0.9117799166808075
XGB,0.9,0.8,F1-Score,0.9192880726266113
XGB,0.9,0.8,AUC,0.9117799166808074
LR,0.9,0.7,Accuracy,0.8547806826885259
LR,0.9,0.7,Precision,0.7824817102295447
LR,0.9,0.7,Recall,0.6400898617550516
LR,0.9,0.7,F1-Score,0.6724237546784798
LR,0.9,0.7,AUC,0.6400898617550517
KNN,0.9,0.7,Accuracy,0.8785733507213976
KNN,0.9,0.7,Precision,0.8373507292068862
KNN,0.9,0.7,Recall,0.700274672763632
KNN,0.9,0.7,F1-Score,0.7408685959155084
KNN,0.9,0.7,AUC,0.700274672763632
